,added_at,artist_id,artist_name,duration_ms,explicit,id,name,popularity,acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0FkyEozlHGvT56E2567C7j,2017-06-22T01:53:58Z,7yF6JnFPDzgml2Ytkyl5D7,Mall Grab,367619.0,False,0FkyEozlHGvT56E2567C7j,Pool Party Music,48.0,1.82e-05,0.839,367619.0,0.652,0FkyEozlHGvT56E2567C7j,0.923,11.0,0.13,-8.473,0.0,0.122,125.989,4.0,0.414
0Fys3iCsGuhH9J2B6cJUB4,2018-07-01T10:25:31Z,34hmgPKKRJX6fvkosRxDO7,August Wilhelmsson,132999.0,False,0Fys3iCsGuhH9J2B6cJUB4,"Going, Going",49.0,0.897,0.248,133000.0,0.275,0Fys3iCsGuhH9J2B6cJUB4,0.932,1.0,0.0888,-19.672,0.0,0.0438,120.008,4.0,0.0307
0GO2CwvN7MRATQgTf8NSBK,2018-12-14T15:10:39Z,6Jbyd4qzEtbFtswZP1o6Ht,Agents Of Time,312280.0,False,0GO2CwvN7MRATQgTf8NSBK,Floating Time,39.0,0.00764,0.703,312280.0,0.908,0GO2CwvN7MRATQgTf8NSBK,0.868,8.0,0.104,-6.223,1.0,0.0423,124.989,4.0,0.441
0GODigah8OVlPl2yhWKy43,2017-06-21T17:46:02Z,4iHnLagnnmgiIwMSm1wuTq,Giorgia Angiuli,399908.0,False,0GODigah8OVlPl2yhWKy43,Hidden Garden,0.0,0.00522,0.688,399909.0,0.756,0GODigah8OVlPl2yhWKy43,0.863,7.0,0.107,-9.656,1.0,0.0424,125.0,4.0,0.172
0GT5H57aeTO1m7bgYVdRRQ,2017-06-23T18:40:42Z,2bfx0bw0uVRyfikzS3h5Mg,Animal Trainer,488397.0,False,0GT5H57aeTO1m7bgYVdRRQ,Andris,11.0,0.012,0.712,488397.0,0.671,0GT5H57aeTO1m7bgYVdRRQ,0.865,7.0,0.7,-10.964,1.0,0.0376,119.991,4.0,0.0395
0GgZp5p1DDk3EGRZrG2CxQ,2016-01-21T02:56:25Z,3DtHAw4MrjXhVFotN5n8fZ,Apanhador Só,280586.0,False,0GgZp5p1DDk3EGRZrG2CxQ,"Vitta, Ian, Cassales",32.0,0.864,0.767,280587.0,0.578,0GgZp5p1DDk3EGRZrG2CxQ,0.0338,4.0,0.798,-9.065,1.0,0.0454,113.987,4.0,0.534
0HEeoSv1KTj7Mwgn3HewFM,2016-01-08T17:47:35Z,2d0hyoQ5ynDBnkvAbJKORj,Rage Against The Machine,339733.0,True,0HEeoSv1KTj7Mwgn3HewFM,Take The Power Back - Demo,35.0,0.0389,0.601,339733.0,0.869,0HEeoSv1KTj7Mwgn3HewFM,1.82e-05,7.0,0.0701,-5.646,1.0,0.0542,102.2,4.0,0.396
0HKpDOzCCfg64zHMJuGfb1,2016-09-26T17:25:56Z,0GYMBKQycrXx5fNodtVKLO,Jon Hester,356900.0,False,0HKpDOzCCfg64zHMJuGfb1,Logan,17.0,6.83e-06,0.741,356901.0,0.714,0HKpDOzCCfg64zHMJuGfb1,0.907,7.0,0.104,-11.149,1.0,0.0546,130.0,4.0,0.186
0HOw8MgKa7gHBBAMvxCkwO,2018-11-26T19:22:31Z,3gkLqGRDA19txXCSKXq6Gx,DJ T.,440000.0,False,0HOw8MgKa7gHBBAMvxCkwO,Istanbul,28.0,0.0101,0.802,440000.0,0.653,0HOw8MgKa7gHBBAMvxCkwO,0.921,4.0,0.0461,-7.773,1.0,0.0589,122.002,4.0,0.518
0J1iFISejodqBIy0Q9AS0N,2016-04-18T20:07:15Z,0mXTJETA4XUa12MmmXxZJh,Eddie Vedder,283586.0,False,0J1iFISejodqBIy0Q9AS0N,I Shall Be Released,39.0,0.131,0.451,283587.0,0.702,0J1iFISejodqBIy0Q9AS0N,0.0,6.0,0.994,-7.501,0.0,0.0386,74.966,4.0,0.405
